spec,race,trinket_pair,has_dst,dps,dst_uptime_pct,wowhead_gear_url
Arms Warrior,Human,Dragonspine Trophy (28830) + Bloodlust Brooch (29383),true,1504.25,24.33,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Empty Mug of Direbrew (38287),true,1504.25,24.33,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Abacus of Violent Odds (28288),true,1501.86,24.43,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Madness of the Betrayer (32505),true,1500.71,24.31,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Tsunami Talisman (30627),true,1498.59,24.34,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Hourglass of the Unraveller (28034),true,1493.64,24.31,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Solarian's Sapphire (30446),true,1491.11,24.33,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Dragonspine Trophy (28830) + Ashtongue Talisman of Valor (32485),true,1476.41,24.31,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Abacus of Violent Odds (28288) + Empty Mug of Direbrew (38287),false,1476.32,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Bloodlust Brooch (29383) + Empty Mug of Direbrew (38287),false,1475.32,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Bloodlust Brooch (29383) + Abacus of Violent Odds (28288),false,1472.87,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Madness of the Betrayer (32505) + Abacus of Violent Odds (28288),false,1472.01,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Madness of the Betrayer (32505) + Bloodlust Brooch (29383),false,1470.96,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Madness of the Betrayer (32505) + Empty Mug of Direbrew (38287),false,1470.96,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Tsunami Talisman (30627) + Bloodlust Brooch (29383),false,1470.79,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Tsunami Talisman (30627) + Empty Mug of Direbrew (38287),false,1470.79,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Tsunami Talisman (30627) + Abacus of Violent Odds (28288),false,1469.18,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
Arms Warrior,Human,Madness of the Betrayer (32505) + Tsunami Talisman (30627),false,1466.67,0.00,https://www.wowhead.com/tbc/guide/arms-warrior-dps-bt-hyjal-phase-3-best-in-slot-gear-burning-crusade
